Class,Sentences
pos,"অভিনন্দন তোমা‌কে মুস্তা‌ফিজ, তু‌মি এর উপযুক্ত ছি‌লে, তাই তু‌মি পে‌য়েছ। আমরা সবাই গ‌র্বিত !!!"
pos,"আলহামদুলিল্লাহ। অভিনন্দন সাতক্ষীরা বাসির অহংকার বাংলার টাইগার দ্যা ফিসকে। অনেক অনেক শুভেচ্ছা ও অফুরন্ত শুভকামনা। শুভ, সুন্দর এবং কল্যাণময় হোক মোস্তাফিজ তোমার আগামীর পথচলা..."
pos,"2016 আইসিসি বর্ষসেরা উদীয়মান ক্রিকেটার হলেন কাটার মাস্টার খ্যাত ""মুস্তাফিজুর রহমান""। ߑͰߑ̰ߒנ অভিনন্দন ফিজজ,,,ߎɰߎɰߎɍ"
pos,অভিনন্দন বাংলাদেশের গর্ব।দোয়া করি এমন ভাবেই তোমার সাফল্য অব্যাহত থাকবে এবং দেশকে গৌরবান্বিত করবে।
pos,আশা ছিল আমাদের ও জাতীয় দল খেলুক।কিন্তু আজ ও বিশ্ব কাপিয়ে দিচ্ছে।আমাদের এলাকার ছেলে ।
ntr,বিয়ের পর জানতে পারছে
ntr,কেন পুলিশের কাছে যেতে চাচ্ছেন??
neg,তুই কাম সাইরালাইসোস? :o
neg,"একবার বললেন মেয়ে বিয়ের জন্য রাজি না, আবার বললেন বিয়ের পরে জানতে পারছেন বয়সের ব্যাপারটা, আবার বললেন পুলিশের কাছে যাবেন। আপনি বিয়ে করছেন কি করেন নাই আগে সেটা বলেন মিয়া।"
ntr,সুখে থাকতে ভুতে কিলায়। মেয়ের ১৮ হয়নাই তো হয় নাই। কত মানুষ আছে যারা বয়স কমায় কত বারায় এ নিয়া বেশি ভালো মানুষী দেখিতে গেলে আপনাকে পুলিশ নিজেই ১৮+ কাম করে ছেড়ে দিবে।
ntr,যেতে পারেন কারন আপনাকে মিথ্যা তথ্য দিয়ে বিয়ে করানো হয়েছে তবে অনেকেই মানবিকতার খাতিরে যায় না মানিয়ে নেবার চেষ্টা করে কারন এতে আপনার যতটুকুই ক্ষতি হোক না কেন মেয়ে পক্ষের ক্ষতি তারচেয়ে বেশি। বাকীটা আপনার ইচ্ছা যা হয় ও বিবেক যা বলে...
pos,"এটা তো ভাল, রূপার দামে সোনা পেয়েছেন"
neg,ভোঁদাই মার্কা পোস্ট
neg,আমারও সেটাই মনে হচ্ছে। এরে ধইরা নিয়া ডলা দেয়া উচিত।
neg,"হুম, বেটায় নিজেরে এত্ত সচেতন মনে করলে বিয়ের আগে জাস্টিফাই করত।"
neg,ভাই আপনার শারিরীক সমস্যা নাই তো? নাছাড়া যেখানে বিয়ে হয়ে গেছে কোথাই ফ্যামেলি প্ল্যানিং করে মেনে নিয়ে সংসার সাজাবেন তা না আবালের মত চিন্তা ভাবনা। আমার তো মনে হইতাছে আপনার শারিরীক সমস্যা আছে :/
pos,"বুড়ো মানুষ কচি মেয়ে সামলাতে পারছে না 😂 মেয়ে চায় ৪০ মিনিট, কিন্তু উনি ৫ মিনিটের বেশি মাঠে টিকতেই পারেন না 😂😂😂"
neg,ভাই আপনে ভালা হইলেন না
neg,পুলিশ না ভায়া ডাক্তারের কাছে যাও।
neg,আপনি ১৮+ হওয়া পর্যন্ত অপেক্ষা করতে পারেন। আর পুলিশের কাছে গেলে ওরা বালাৎকার কইরা দিবে।
neg,বিকাশ ছাড়েন.. ধর্মের পতে আসেন!! ডাচ বাংলা ব্যবহার করেন! দালাল ভাবিয়া ভুল করিবেন না
neg,কিচুই করা যাই না!
neg,সত্য বলিলেই.. হাসিয়া উড়াইয়া দেওয়ার মত.. মনুষ অনেক থাকে.... এটা নিয়া রাজনীতি করার কিছু নাই!!
neg,বিকাশ পারলেই টু স্টেপ ভেরিফাই চালু করলেই পারে! দায়িত্বজ্ঞান হীনতা আর কত!
neg,"এরপর বলবেন, ভুল করসস কেন, দিমুনা টাকা , যা!!!"
pos,"বুথ থেকে ফ্রি টাকাটা বের হলে মনটাই ভালো হয়ে যায় সত্যি বলতে... :) বিকাশ যে টাকাটা কাটতো, সেটা যেন গায়ে লাগতো..."
neg,আপনি কিভাবে শিউর হচ্ছেন যে এতে দোকারদার যুক্ত আছে?
neg,এই কাজটা ঢাকার কোন দোকানে থেকে বিকাশ করলে এমন করে আমাকেও করছে। বিকাশ দেন দেন কেতে করতে বুড়া হয়ে গেছি। ধমক খাইয়া তারপর ভাগছে। চাঁদপুরে এমন টা হয় না
neg,এই কথা কই পেলেন ভাই? বলবেন কি?
ntr,হুজুর দের কাছ থেকে শুনেছি। আরও অনেক টুকু ছিল।আমি সংক্ষেপে লিখছি
neg,এটা এখন তথাকথিত আভিজাত্য
ntr,দেনমোহর হল স্ত্রীর প্রতি স্বামীর ভালবাসার নিদর্শন যা স্বামীরা তাদের আর্থিক সামর্থ অনুযায়ী দিয়ে থাকে ৷ এটা কোন আর্থিক লেন—দেনের বিষয় নয় ভালবাসা ও সম্মানটাই বড় ৷ যারা মূর্খ তারা দেমমোহর নিয়ে ব্যাবসা করে
ntr,"এটা নেবার কারণ ছিলো যে নারীদের সন্তান গ্রহণ ও প্রতিপালন সহ বিভিন্ন কারণে টিপিকাল কৃষিকাজ করা বা সৈনিক হওয়া বা দূর দূরান্তে গিয়ে বাণিজ্য করে আয় করার কালচার ছিল না, পুরুষেরাই সমাজের মূল উপার্জনকারী ছিল। মোহরানা দেওয়া হয় একটা এটার টোকেন রূপে যে স্বামী তাকে ভরণপোষণ দেবার মত যোগ্যতা রাখে। এছাড়া যেহেতু ইসলামে পুরুষদের তালাক দেবার অধিকার আছে, সেই অধিকার অর্জন করে মোহরানার মাধ্যমে, কারণ যেই স্ত্রীকে মোহরানা দিয়ে বিয়ে করেছে, তাকে তখন ইচ্ছে হলেই তালাক দেওয়ার চিন্তা আসবে না না আর্থিক ইনভেস্টের কারণে। এরকম বিভিন্ন ব্যাপার আছে।"
pos,"বইন সবাই যদি এভাবে একটু চিন্তা করতো, গোল্ড আর দেনমোহর এর টাকা জোগাড় করতে করতে পোলাপাইনের বিয়ার বয়স শেষ 😂😁"
neg,"আপনাদের চিটাগাংয়ে আরো অনেক ফালতু নিয়ম আছে যেমন কোরবানি ঈদে গরু বা ছাগল দিতে হয় , গ্রীষ্মে আমকাঁঠাল ইত্যাদি এসব ট্রাকবোঝাই করে দিতে হয় মেয়েপক্ষকে । আবার ফার্নিচার হ্যানত্যান । নাহলে আবার বউয়ের পোয়াবারো হবে"
pos,"আপনার পোস্ট টা স্ক্রিনশট নিয়ে দোকানে গিয়ে বড় করে বাধাই করে আনবো,,,আর কিছু লিফলেট বানাবো,,,তাও যদি আপনার মতো কেউ ভাবে,,,আপনি নারী না আপনি একটা ভালো নারী।"
pos,আপনি এত ভাল কেন???
ntr,"পাত্রের income ability অনুযায়ী অবশ্যই দেনমোহর ধার্য্য করা উচিৎ,,,, এবং বিয়ের পরে সেই দেনমোহর পরিশোধ করার ও বিধান রয়েছে,,,,, তবে পাত্রী চাইলে মাফ করে দিতে পারে,,,, তখন পরিশোধ না করলেও হবে,, !!!"
pos,স্যার অনেকদিন পর অনেক সুন্দর একটা লিখা পড়লাম
ntr,ভালো কথা বলেছে
neg,"যারা চাকরি দিবে, তাদের সাথে ভার্সিটিগুলির সরাসরি সংযোগ থাকতে হবে। আজাইরা অনার্স-মাস্টার্স বাদ দিয়ে সরাসরি প্রফেশনাল কোর্স করিয়ে দক্ষ জনশক্তি বের করে আনতে হবে।"
neg,"যারা এক্সেল জানাকেই বা স্পেসিফিক কিছুকেই কম্পিউটার লিটারেসির স্ট্যান্ডার্ড মেনে নিয়ে নিয়োগ প্রক্রিয়া চালায়, তাদের মত গর্দভেরাই সরকারি নিয়োগ বিজ্ঞপ্তির এক ধরণের পদে প্রার্থী খুঁজার ক্ষেত্রে শিক্ষাগত যোগ্যতায় সিএসইতে অনার্স-মাস্টার্স খুঁজা সত্ত্বেও বাধ্যতামূলকভাবে একটি ""কম্পিউটার ডিপ্লোমা"" খুঁজে!"
pos,বাংলাদেশের প্রকাশনা জগতের অন্যতম রোমান্টিক প্রকাশক
pos,ধন্যবাদ সবাইকে। খুব শীঘ্রই আমরা একটা আড্ডার আয়োজন করবো। সেটা সবাইকে জানিয়ে দেওয়া হবে।
neg,কিছু না বলাইতে চুপ হয়ে গেলেন
neg,চুপ হারামি
neg,তুই খারাপ মেয়ে শারা দিন ফেসবুকে কি করসস
neg,এই গ্রুপের এডমিনের দৃষ্টি আকর্ষণ করছি প্লিজ কমেন্টের রিপ্লাই দিবেন
ntr,"আপি আমি আছি, ,,,আমার বন্ধু বান্ধব সবগুলো এটার উপর ক্রাশ খাইছে কিন্তু আমি না,,,,,,আমার কাছে ভালো লাগে নাই"
ntr,এইডা কোনো মায়্যা হইল?এর থেইক্কা তহ আমাদের স্কুল এর মহিলা সুইপার গুলা জোসস!!😹😹
neg,এই বালডার ওপর ক্রাশ খাওয়ার কি আছে বুঝলাম না। এই বালডারে লইয়া সবাই দেখতিছি নাটক মারাই তাছে বাল একটা
neg,হুরু কি এমন চেহেরা যে এইডার উপর ক্লাশ খাইতে হইবো
ntr,ক্রাশ খাওয়া এত সস্তা না
neg,"কই, কোন respons পাইলাম না তো"
neg,যতদিন থাকবে পৃথিবীর বুকে মানুষের নিশ্বাস! ততদিন থাকবে পৃথিবীতে আবালের বসবাস
pos,মাশরাফি মানে লাল সবুজের বাংলাদেশ!!!! মাশরাফি মানে শত মানুষের ভালবাসা!!! মাশরাফি মানে বাংলাদেশ ক্রিকেট এর বদলে যাওয়া!!! হাজার বছর বেচে থেকো প্রানপ্রিয় ভক্তদের মাঝে!!!! May Allah bless u!!!
pos,"মাশরাফি শুধু একটা নাম না এটা ২০ কোটি মানুষের আবেগের নাম ভালোবাসার নাম,"
pos,"এই ছবিতে যেই ব্যক্তিকে দেখা যাচ্ছে তিনি শুধুমাত্র একজন খেলোয়াড় ই নন, তিনি বাংলার বাঘ, জাতির গর্ব, জাতির অনুপ্রেরণার প্রতীক, তিনি একজন,মাশরাফি দ্যা বস"
pos,"বস আমার একটা স্বপ্ন আছে একদিন আপনার সাথে হাত মেলাবো,আপনে যখনি মাঠে নামেন,আপনে যখনি ফিল্ডিং, ব্যাটিং বা বোলিং এর জন্য মুভমেন্ট করেন তখনি কলিজা কেপে উঠে,এই বুঝি বস পড়ে গেলো আবারো আঘাত পাবে,তারপরো আপনে বাঘের মতো লড়াই করে যান। আপনি দীর্ঘজীবি হন,এই দোয়া রইলো☺☺"
pos,আমি মাশরাফি ফ্যান।হয়তো কেউ এটা জানবেনা।কারণ আমি নিতান্তই একজন সাধারণ মাশরফি ভক্ত।তবুও আমি তার ভক্ত হয়ে গর্বিত।লাভ ইউ বস।
pos,খেলোয়ার হলেই হবে না ? আদর্শও থাকতে হবে .....আর সেটা আপনার আছে ..সেজন্যইতো আমরা তোমায় অনেক অনেক ভালোবাসি...! এই বাঙ্গালি জাতি আর কখনই এমন খেলোয়ারকে পাবে না...i'm sure
neg,এই ছবিটার মধ্য দিয়ে মাশরাফি ভাই হয়তো তার মনের কোন দু:খ বা হতাশা কে প্রকাশ করেছেন।কিন্তু আমরা বোকা ভক্তরা তা বোঝার চেষ্টা করছি না।
ntr,"তুমি শুধু মাশরাফি নও, তুমি একটা বাংলাদেশ। ভালাবাসার আরেক নাম মাশরাফি। তুমি বেচে থাকবে হাজার বছর কোটি ভক্তের হৃদয়ে।"
neg,আর যদিও কেউ থাকে তাইলে সে মানসিক ভাবে অসুস্থ।
pos,"বাংলাদেশের ১৬ কোটি মানুষের ভালোবাসার আরেক নাম মাশরাফি,,"
pos,২ নাম্বারটা দেখলেই কেমন জানি অাবেগ প্রবণ হয়ে যাই।
pos,মাশরাফি মানে কি পোস্ট সেটা না দেখে লাভ রিয়েক্ট দেওয়া যায় এমন এক ব্যক্তি।
ntr,ম্যাশ তুমি বাংলাদেশের ষোল কোটি মানুসের অইকন..সুস্থ থাক সব সময় এই দোয়া করি.
ntr,মাশরাফির অভাব অনুভব করছি
neg,ভাবতেই অবাক লাগে এই শ্রীলংকা ক্রিকেট টিমকে কিছুদিন আগেও বাংলাদেশ বাংলাওয়াশ করেছিলো|
neg,এটাই বলতে চাইতেসি বাংলাদেশ টীম জয়ের অভ্যাসটা চন্দ্রিকা করেছিল. কোনো ক্যাপ্টেনের জাদুর স্পর্শে এটা হয়নি
ntr,আপনার এই নতুন প্রয়াস কে স্বাগতম জানাই মনের সমস্ত অনুভূতি দিয়ে।
neg,"বস তুমি নেই, আজ সবাই শৈল্পিক দৃষ্টিনন্দন ভঙ্গীতে আউট হচ্ছে"
ntr,পুরা রিসোর্ট এর একটা ডেমু দিলে ভালো হইতো
neg,আপনাকে সেই পাবনার পাগলা গারতে নিয়ে যেতে হবে।
neg,"পাগলা গারত থেকে আমার বাসা ৫ মিনিট এর পথ,,,আর কিছু বললাম না"
ntr,মাশরাফি তো মাশরাফি তার সাথে কোন কারো তুলনা করা যায় না
neg,মাশরাফি কে নিয়ে জে খারাপ কথা বলবে সে হলো একটা পাগল।এবং গরু।
neg,তরে মনে হয় কাউয়ার চু*ছে । আর পতিতা পল্লির পুলা না তুই । স্বাভাবিক ব্যাপায
neg,"দেখ মাশ্রাফি কি তর হবু বর নাকি,,,ভাষা বাজে করাইশ্নে,,,,এক ছেরির সাথে ঝগ্রা লাগাইসি জা কিন্তু হেন্তেন"
pos,পরিসংখ্যান কিংবা ট্রফির সংখ্যান দিয়ে মাশরাফি কে চেনা যায় না চিনতে হলে কান পাততে হয় ক্রিকেট ভক্তদের হ্রিদয়ে কিন্তু কেন এই অবিরাম ভালবাসা। যার কাছে একটা ৫ কোটির রেঞ্জ রোভার এর চেয়ে একটা এম্বুলেন্স এর গুরুও্ব বেশি তাকে ভাল না বেসে উপায়.. কি..?
ntr,চিএা নদীর এপার কিংবা ওপাড়ে জিবন মৃত্যুর সন্ধিখনে কেও যখন ঝাপ্সা চোখে তাকিয়ে থাকবে দোখিন দুয়ারে পথের পানে ঠিকই দেখবে ধেয়ে আসছে নড়াইল এক্সপ্রেস এম্বুলেন্স ছুটে আসছে মাশরাফি বেচে থাকার আলোক বর্তিকা হাতে!
ntr,"জ্ঞানীর সংখ্যা বেড়ে গেছে।। তারা এখন আর বইয়ের লিখিত বিষয়টি মানতে চাই না।। নিজের যুক্তি কে এখন প্রাধান্য দিতে থাকে।। যে বই পড়ে শিক্ষিত হই, একদিন সেই বই কে তুচ্ছ মনে করে। আমি সাধুবাদ জানাই জ্ঞানীদের কে?"
pos,Congratulations #Mash বিজয়ের মাসে সেই স্মরণীয় বিজয় এনে দেয়ার জন্যে
ntr,তোমায় মনে রাখবো আজীবন শুধুমাএ খেলার বিচারে নয় বরং তারচেয়ে বেশি অপ্রতিরোধ্য সহজ সরল মানুষিকতায়#ম্যাশ দীর্ঘজীবি হও
neg,"ম্যাশ! আওয়ামীলীগ এ যোগদান করার সিদ্ধান্তের খবর যদি সঠিক হয়, তাহলে সেটা হবে আপনার জীবনের সবচেয়ে বড় ভূল।"
neg,আমি ১০১% সিওর এই কিশোরী টিমের সাথে যদি বাংলাদেশ পুরুষ জাতীয় ফুটবল দলের সাথে একটা ম্যাচ আয়োজন করা যায় তবে জাতীয় দল নির্ঘাত গো হারা হারবে!
neg,"শু আফ ছাড়া কিছু না✌ যেখানে দেশের নেতা পতিরা মাদক আসক্ত সেখানে, এসব মানায় না😃😃"
ntr,ভাই হবিগঞ্জ এ আপনাদের অফিস কোথায়? আমি ৭ মাস আগে অনলাইনে আবেদন করেছিলাম। কিন্তু এখনো কোনো যোগাযোগ করা হয় নি।
neg,"পরিচালক যেহেতু উওম আকাশ তাই প্রত্যাশার লেভেলটা নিচে নামিয়ে নেতা মুভিটা দেখতে গিয়েছিলাম, কিন্তু হতাশ হয়ে ফিরে এসেছি । ডাবল দামে টিকিট কিনে অনেকে দাড়িয়ে থেকে মুভিটি দেখেছে,সবার মুখে হতাশার সুর । দেশের প্রথম সারির নায়কের কাছ থেকে এরকম মুভি আশা করা যায়না ।"
pos,তবে গানগুলো একথায় অসাধারন ।
neg,"প্রিয় শাকিব,শুনেছি আপনার জন্যই মিউজিক ডিরেক্টর পরিবর্তন করা হয়েছে,তাহলে আপনি জানেন কাদেরকে দিয়ে ভাল হয় ।"
ntr,"উওম আংকেল কে বলছি,আনেক হয়েছে এখন একটু অবসর নেন,নতুদের সুযোগ দিন ।"
neg,"দাদা jaaz maltimedia আমাদের দেসে ব্যাবসা করচে 🎬📽📺📹🎥 এতে দেসের সিল্পিদের ক্ষতি হচ্চে😖 অনেকে পথে বসে যাচ্চে এতে কারো মাথা 😇 বেথা নাই,কিচু দিন পরে দেস্টা কলকাতা হয়ে যাবে😷 এই আমি আগে ভাগে বলে দিলুম এখনি সচ্চার হন 👨‍👨‍👧‍👧👤👥 পরে পস্তাবেন 😿বলে রাখলুম, so jazz multimedia 🚫"
ntr,ভাই প্লিজ উওমের মতো পরিচালকদের সাথে কাজ কইরেন না। কারন এরা আপনাকে ডোবাবে। এখন থেকে তরুন মেধামি পরিচালকদের সাথে কাজ করুন।
ntr,ভাই আজেবাজে পরিচালক এর কাজ না করে তরুণ পরিচালক এর সাথে কাজ করেন।।।। তারাই আপনাকে পারবে ভালোভাবে দক্ষতারর সাথে পর্দায় হাজির করতে।।।।
neg,এখন থেকে পুরাতন পরিচালক বর্জন করেন।।।।। নেক্সট টাইমে আর দেখতে চাই না।।
pos,সিডনি ওপেরা হাউস সামনে বস কে চরম লাগছে
pos,"""আমি নেতা হবো"" প্রমাণ করে দিয়েছে এটা শাকিব খানের বাংলাদেশ!!"
pos,দেখলাম রাজশাহী উপহার হলে নেতার নেতা গিরি
ntr,রাজনৈতিক অবস্থার কারনে নাকি শুভর ছবি ফ্লপ হয়েছে😊!!!!তাহলে নেতা হবোর ওপেনিং এতো ভালো কেমনে হয় 😊।একই সময়ে রিলিজ পাওয়া দুই ছবির দুই কাহিনী!!!!
pos,"আপনার ছায়া ছবি ""সিটি টেরর"" দেখছি। আপনাকে মান্না ভাইয়ের দেখলে আমার প্রাণ সব সময় ছেয়ে যায়, মনে একটি আলাদা অনুভূতি প্রকাশ পায়। তাছাড়া, আপনার পুরানো অতীত মুভিগুলোতে side role গুলোতে আপনাকে আমার ভালো লাগে সেক্ষেত্রে@ShakibKhanBhaiya."
neg,"আমি আপনাকে ভালবাসি, কিন্তু এরকম নিম্ন মানের বাজে কাহিনীর একটা মুভি দেখব আশা করিনি, আপনাকে ভালবাসে বলেই এত লোক মুভিটা দেখতে গেছে অন্য কেউ হলে মুভি দেখে কমেন্টে এসে শুধু গালিগালাজ করত।"
ntr,"শোনেন শাকিব ভাই আপনাকে ভাল বাসি। আপনার ভালোর জন্য বলছি আমি নেতা হবো সিনেমা কাহিনি, এবং টেকনিশিয়ান অনেক দুর্বল ছিলো। এরোকম সিনেমা করা ঠিক না। আকর্শনীয় গলপো এবং উননতো টেকনিশান জেটা সমস্তো জনগন আশা করে। তামিল সিনেমায় জে ধরনের টেকনিশায়ন ব্যবহার করে তেমন হলে ভালো হবে। কোলকাতার পরিচালক প্রোজোজকরা তো আমাদেশের সিনেমা বাজার দখোল করতে চাইছে। জেটা আমরা চাই না।জাজ মালটিমিডিয়া কিনতু কোলকাতার হিরোদের প্রাধান্য দিচছে, সে দিকে খেয়াল রাখতে হবে। শুদু সিনেমার শুটিং নিয়ে ব্যসতো থাকলে হবেনা।সব দিকে খেয়াল রাখতে হবে।"
ntr,"আমি ছোট বেলা থেকেই শাকিব খান কে ভালবাসি,, তাকে বস বলে ডাকি এবং তার সবরকম স্টাইল ফলো করি তার প্রতিটি গান আমি দেখি এজন্য প্রায় অনেক বন্ধুরা আমাকে দেখতেও পাইনা আমার সাথে অনেক ঝগড়া পর্যন্ত হয়। এখানে কথা হল যে তার প্রতিটি গান ভাল লাগলেও প্রতিটি ছবি ভাল লাগেনা,, দেখুন নবাব ছবিটা কত ভাল হয়েছিল তাছাড়া শিকারি মনের জালা জান কুরবান আরো নাম না জানা কত ছবি ফেভারিট হয়েছে এখানে ভাল মানের গল্প ছিল আর ভাল পরিচালক ছিল কিন্তু এই যে ((আমি নেতা হবো)) এটা কোন ভাল ছবির মধ্যে পরেনা বলতে গেলে আমার কাছে বাজে একটা ছবি। তবে এখানে কথা হল মাই বস শাকিবের কোন দোষ নেই দোষ এখানে পরিচালকের,, কেননা তিনি তাকে যা অভিনয় করতে দিবে তাই অভিনয় করবে। সর্বোপরি মাই বস শাকিবের কাছে আমার বিনীত অনুরোধ রইল এসব আজে বাজে গল্পের ছবিতে কাজ না করে ভাল মানের গল্পের ছবিতে কাজ করুন এতে আপনার ভক্তও যেমন বাড়বে ঠীক তেমনি আমি আমার বন্ধুদেরও উচিৎ জবাব এবং উচিৎ শিক্ষা দিতে পারব। (( আমি আমার মনের কথা গুলো বললাম ভুল হলে আপনার কাছে আমি ক্ষমা প্রার্থী))"
neg,প্রথম বিশ মিনিট ঘুমিয়ে কাটিয়েছি।বিরতির পর চলে এসেছি।বস্তাপচা সস্তা সংলাপ আর মানহীন কাহিনী দেইখ্যা না ঘুমাইয়া উপায় আছে???
pos,আমিআসাম থেকে বলছি বাংলাদেশে যদি থিরো একটাই আছে সেটা হল নাম্বার ওয়ান শাকিব খান নাম্বার খান নাম্বার ওয়ান শাকিব খান নাম্বার ওয়ান শাকিব খান
neg,আমাদের এই অ্যাডমিন গুলি এতেই গদ গদ হয়ে লিখতে বসে পড়ে সোশ্যাল সাইটে
ntr,"সত্যি বলতে কি অ্যাওয়ে ম্যাচ, ড্র হলেও আমার মনে হয় সেটা পজিটিভ।"
ntr,রাইনের স্বর্গপুরি থেকে এই লেখা লিখছেন কি করে ? আপডেটও দিচ্ছেন ? বইমেলা আমাদের কাছে নিয়ে আসার জন্য অনেক অনেক আরো অনেক ধন্যবাদ | ঋদ্ধ -২ এর আরো একটু পরিষ্কার ব্লো আপ দেওয়া যায় না ?
pos,"হা হা দুঃখিত দেরিতে মন্তব্যের জবাব দিচ্ছি, কোন উপায় ছিলনা। ঋদ্ধ ২ একটু ডিটেইলস করে দিয়েছি আপনার কথায়। অনেক ধন্যবাদ ।"
neg,একটি দেশকে সত্যিকার অর্থে উন্নতির শিখরে এগিয়ে যেতে হলে যোগ্য লোককে যোগ্য স্থানে কাজ করার সুযোগ দিতে হবে | কোটা পদ্ধতি কোনোভাবেই যোগ্য লোককে মূল্যায়ন করার সুযোগ দেয় না - বরং যোগ্যতমকে একধরণের উপেক্ষাই করে থাকে | রাজনৈতিক দলগুলো যদি দেশের সত্যিকার উন্নয়ন চায় তবে এই ফালতু আবেগ থেকে বেরিয়ে এসে চাকুরীর কোটা পদ্ধতি সম্পূর্ণ বিলোপ করতেই হবে |
pos,"মুক্তিযোদ্ধা, তাদের সন্তান, ও নাতি-নাতনিদের আর্থিক ভাবে সাহায্য করা হউক যাতে করে তারা খেয়ে-পড়ে অন্যদের সাথে প্রতিদন্দিতা করে নিজেদের যোগ্যতা প্রমান করে চাকুরি পায়; এতে করে তাদের নিজেদের নৈতিক চরিত্র উন্নত হবে। মানুষ তাদেরকে অবহেলা করার সুযোগ পাবে না।"
neg,ঘুষ ব্যতিত সরকারী চাকুরী হয়?
ntr,১০% থেকে ১৫% কোটা সমর্থনযোগ্য। এর চেয়ে বেশী নয়।
neg,আমি কোন রকম কোটা রাখার পক্ষে না। তবে রাজনৈতিক দৃষ্টিকোন বিবেচনা করে আপনার প্রস্তাবের সাথে একমত হতে পারি সাময়িক ভাবে। তবে সরকারকে ঘোষনা করতে হবে আগামী ৫ বছরে পরে এই কোটা ১০% এ নেমে আসবে ও ১০ বছর পরে কোন রকম কোটা থাকবে না।
ntr,তাহলে যাদের মেধা কম তাদের কি হবে?
ntr,আমি ক্ষমতাসিন রাজনৈতিক দলের প্রধান হলে কোটা ইস্যুটা গনভোটে দিতাম। দেশের মানুষ চাইলে থাকবে না চাইলে বাতিল হবে। অন্তঃত পক্ষে মোট প্রাপ্ত ভোটের ৪ ভাগের ৩ ভাগ কোটা চায় না সেটা ভোট দিয়ে বলতে হবে। এবং সংবিধানে যোগ করে দিতাম যে ভবিষ্যতে আবারও কোন রাজনৈতিক দল কোটা চালু করতে চাইলে আবারও গনভোট দিয়ে মানুষের রায় নিয়ে তবে কোটা চালু করতে হবে।
ntr,"একটা হলো ঘুষ নিয়ে অযোগ্য লোককে চাকুরী দেওয়া, অন্যটা হলো দেশের জন্য অবদানের স্বীকৃতি স্বরুপ আংশিক রাষ্ট্রিয় সুযোগ সুবিধা তাদের জন্য নিশ্চিত করা।"
ntr,"এখন দেখার বিষয় হলো কোনটার বিরুদ্ধে আমাদের আন্দোলন করা উছিত। আমার মতে মেধাবীরা স্থান পাচ্ছে না মূলত ঘুষ দুর্নিতির কারণে। নিয়োগে স্বচ্ছতা নিশ্চিত করা গেলে, কোন মেধাবীই নিয়োগ থেকে বঞ্চিত হতো না।"
neg,কোটা যারা চায় তারা নিচু মানসিকতার লোক। এবং যারা কোটা দিতে চায় তারা ভন্ড।
neg,কোটা না থাকলে সংগ্রামী লীগ নেতারা কোন সরকারি চাকুরিতে কোন পাত্তাই পাবেনা।
ntr,"কেবল প্রতিবন্ধী কোটা বাদে আর সব কোটা তুলে দেয়া হোক। মুক্তিযোদ্ধা কোটা, জেলা কোটা ইত্যাদি স্বাধীনতার পর পর কিছুদিন দরকার ছিল, এখন নেই। আর মহিলা কোটা দিয়ে মহিলাদের ছোট করা হয়। এটা তুলে দিয়ে বরং তাদের নিরাপদে চলাচল করার ব্যবস্থা করা হোক"
pos,মায়ের জন্য অন্তহীন শ্রদ্ধা আর ভালবাসা
pos,সত্যি অসাধারণ। আমি পড়ে একেবারে বাকরুদ্ধ হয়ে পড়েছিলাম। তাই শেয়ার দিলাম।
pos,এক কথায় অসাধারণ ।
pos,"হুম। অসাধারণ গল্প, অসাধারণ ও অদ্বিতীয় পেশা।"
neg,খেয়া ঘাট' ভাইয়ের লেখা?? উনার সাথে ব্লগেই আমার কথা হয়েছে। সেও অবশ্য অনেকদিন আগে।
ntr,আমি অবশ্য আজই আমাদের ফ্রেন্ডদের এক গ্রুপে দেখলাম। সেখানে কোন রেফারেন্স নেই। কিন্তু আমি নিশ্চিত ছিলাম সেটা তার লেখা না। তাই আমি রেফারেন্স হিসেবে 'ইন্টারনেট' ব্যবহার করেছি। এছাড়া আমার উপায় ছিল না।
ntr,"আপা উনার লেখার লিঙ্কটা থাকলে শেয়ার দিন, প্লিজ। আমিও দেখছি।"
pos,মায়ের জন্য অন্তহীন শ্রদ্ধা।
ntr,ফেসবুকে দেখেন উনার ফেসবুকে ই আছে ।
ntr,ফেসবুকে উনার সাথে আমি কানেক্টেড না। আইডি কি খেয়াঘাট নামেই?
pos,এই উপমা দিয়েও মায়ের কাজকে বোঝানো সম্ভব না।
pos,মায়ের অবদানের তুলনা হয় না।
ntr,আমি কালকেই প্রথম দেখেছি। ফেসবুকের একটা গ্রুপ পেজে।
pos,চমৎকার !! শেয়ার করার জন্য ধন্যবাদ।
pos,সত্যি চমৎকার। এই লেখাটা নাকি ব্লগার 'খেয়া ঘাট' ভাইয়ের। আগে জানা ছিল না।
pos,আনন্দময় সময় ও সুন্দর সুন্দর ছবিগুলো দেখার সুযোগদানে ধন্যবাদ ভাই।
pos,প্রানবন্ত কিছু ছবি দেখলাম
pos,নিজেদের ছবি তুলতে আমার ভালো লাগে না। সুরভি বারবার অনুরোধ করে। বেচারিকে খুশি করতেই তার সাথে ছবি তুলি।
